"Movie_ID","Movie","Release_date","Distributor","MPAA_rating","Runtime","Production_budget","Genre1","Genre2","Genre3","imdb.com_rating","Country","Opening_revenues","Opening_screens","Opening_revenues_indexed","Opening_screens_indexed","Opening_revenues_indexed_transformed","Opening_screens_indexed_transformed"
173,"Hannah Montana The Movie","4/10/2009","BV","G",92,NA,"Comedy","Drama","Family",4,"Netherlands",78514,30,0.021999212,0.125,-3.794503837,-1.945910149
173,"Hannah Montana The Movie","4/10/2009","BV","G",92,NA,"Comedy","Drama","Family",4,"USA",32324487,3118,0.226299932,0.720924855,-1.229323037,0.949053829
174,"Hansel and Gretel: Witch Hunters","1/25/2013","Par.","R",88,50,"Action","Fantasy","Horror",6.1,"Netherlands",303702,31,0.125162479,0.122529644,-1.94442545,-1.968690177
174,"Hansel and Gretel: Witch Hunters","1/25/2013","Par.","R",88,50,"Action","Fantasy","Horror",6.1,"USA",19690956,3372,0.113072456,0.792852104,-2.059734471,1.342203693
175,"Harry Potter and the Deathly Hallows Part 1","11/19/2010","WB","PG-13",150,NA,"Adventure","Family","Fantasy",7.7,"Netherlands",3043121,240,1,1,NA,NA
175,"Harry Potter and the Deathly Hallows Part 1","11/19/2010","WB","PG-13",150,NA,"Adventure","Family","Fantasy",7.7,"USA",125017372,4125,0.975764534,0.923231871,3.695404206,2.487090852
176,"Harry Potter and the Deathly Hallows Part 2","7/15/2011","WB","PG-13",130,NA,"Adventure","Drama","Fantasy",8.1,"Netherlands",3839769,233,1,0.978991597,NA,3.841600541
176,"Harry Potter and the Deathly Hallows Part 2","7/15/2011","WB","PG-13",130,NA,"Adventure","Drama","Fantasy",8.1,"USA",169189427,4375,1,1,NA,NA
177,"Harry Potter and the Half-Blood Prince","7/15/2009","WB","PG",153,250,"Adventure","Family","Fantasy",7.5,"Netherlands",3568946,215,1,0.895833333,NA,2.151762203
177,"Harry Potter and the Half-Blood Prince","7/15/2009","WB","PG",153,250,"Adventure","Family","Fantasy",7.5,"USA",77835727,4325,0.544918771,1,0.180160812,NA
178,"Haywire","1/20/2012","Rela.","R",93,23,"Short","Thriller"," ",7.2,"Netherlands",188591,55,0.049561819,0.198555957,-2.953702352,-1.395344197
